#1
Name	S-1-P 16(1)
	Flags	Flag ID	Data Filename	Sample Name	Sample ID	Sample Type	Cal Point	Level	RT	Ret. Index	Actual Ret. Index	Unit	Area	Height	Std. Conc.	Conc.	%Diff	ISTD Area	ISTD Height	Area Ratio	Height Ratio	Peak Start	Peak End	Tailing F.	S/N	SI	Noise	RRT	Ref. RRT	%Dev RRT	Ref. Mode	Ref 1 m/z	Ref 1 Range	Ref 1 Set Ratio	Ref 1 Actual Ratio	Ref 1 Measured	Ref 1 Conc.	Ref 1 Std Ratio %Diff	Ref 2 m/z	Ref 2 Range	Ref 2 Set Ratio	Ref 2 Actual Ratio	Ref 2 Measured	Ref 2 Conc.	Ref 2 Std Ratio %Diff	Ref 3 m/z	Ref 3 Range	Ref 3 Set Ratio	Ref 3 Actual Ratio	Ref 3 Measured	Ref 3 Conc.	Ref 3 Std Ratio %Diff	Ref 4 m/z	Ref 4 Range	Ref 4 Set Ratio	Ref 4 Actual Ratio	Ref 4 Measured	Ref 4 Conc.	Ref 4 Std Ratio %Diff	Ref 5 m/z	Ref 5 Range	Ref 5 Set Ratio	Ref 5 Actual Ratio	Ref 5 Measured	Ref 5 Conc.	Ref 5 Std Ratio %Diff	Accuracy(%)	RT %Diff	RT Diff	Vial	Tray	Inj Vol	Acquired Date	Acquired By	%RSD (Conc)	%RSD (Area)	Type	ISTD Group	m/z	Concentrations[1]	Concentrations[2]	Concentrations[3]	Concentrations[4]	Concentrations[5]	Concentrations[6]	Concentrations[7]	Concentrations[8]	Concentrations[9]	Concentrations[10]	Concentrations[11]	Concentrations[12]	Concentrations[13]	Concentrations[14]	Concentrations[15]	Concentrations[16]	Concentrations[17]	Concentrations[18]	Concentrations[19]	Concentrations[20]	Concentrations[21]	Concentrations[22]	Concentrations[23]	Concentrations[24]	Concentrations[25]	Concentrations[26]	Concentrations[27]	Concentrations[28]	Concentrations[29]	Concentrations[30]	Concentrations[31]	Concentrations[32]	Concentrations[33]	Concentrations[34]	Concentrations[35]	Concentrations[36]	Concentrations[37]	Concentrations[38]	Concentrations[39]	Concentrations[40]	Concentrations[41]	Concentrations[42]	Concentrations[43]	Concentrations[44]	Concentrations[45]	Concentrations[46]	Concentrations[47]	Concentrations[48]	Concentrations[49]	Concentrations[50]	Concentrations[51]	Concentrations[52]	Concentrations[53]	Concentrations[54]	Concentrations[55]	Concentrations[56]	Concentrations[57]	Concentrations[58]	Concentrations[59]	Concentrations[60]	Concentrations[61]	Concentrations[62]	Concentrations[63]	Concentrations[64]	Event	Band	Slope	Width	Drift	Calc.by	Curve	Zero	Weight	Window/Band	Spiked	Noise From	Noise To	Found RT	Recovery	Mode	Mode ID	Sample Amt.	Dil. Factor	Quant Method	R²	R	Status	Average Conc.	Average Conc. (R1,R2)	ISTD RT Diff	Std RT Diff	ISTD RT	%Conc. Outside Curve	Lib. SI	Lib. RT	Lib. Compound Name	Lib. errRT	CAS #	Formula	Mol. Weight	Comment 1	Comment 2	Lib. CAS #	Lib. Synonym	Lib. Theory MW	Lib. Formula	Lib. Class	Lib. URL	Lib. Comment	Lib. Chromatogram Comment	Lib. Adduct Ion	Lib. Precursor Ion	Lib. SP ID of Precursor Ion	Lib. MS Stage	Lib. Ionization	Lib. Collision Energy	Lib. Instrument	Lib. Data Filename	Lib. Acquired By	Lib. Acquired	Lib. Sample Info	3rd Coeff.	2nd Coeff.	1st Coeff.	Intersection	Lib. Filename	Original Method Filename	Group #	Tailing F(10%)	Width(50%)	Noise Calc. Method	Group Type	Custom Calc. Result 1	Custom Calc. Result 2	Custom Calc. Result 3	Custom Calc. Result 4	Custom Calc. Result 5	Ref 1 S/N	Ref 2 S/N	Ref 3 S/N	Ref 4 S/N	Ref 5 S/N	Ref. Ions	Asymmetry	Data Comment	ISTD Name	RF	RF %RSD (level)	RF Mean (level)	RF SD (level)	Comment	Ref 1 Noise	Ref 2 Noise	Ref 3 Noise	Ref 4 Noise	Ref 5 Noise	ISTD Amount	 +/- ppm	ISTD %Diff (Stds) Area	ISTD %Diff (Controls) Area	Std. Conc. Factor	Correction Factor	Confidence	RF Mean (curve)	RF SD (curve)	RF %RSD (curve)	RF Deviation	Ref STD ID	Ref 1 Result	Ref 2 Result	Ref 3 Result	Ref 4 Result	Ref 5 Result	Ref 1 RRT	Ref 2 RRT	Ref 3 RRT	Ref 4 RRT	Ref 5 RRT
11			2035RAB_0001CAL2_A1	2035RAB_0001CAL2_A1	2035RAB_0001CAL2_A1	Unknown	No		2.742	0.00	0.00	ppm	359945	190919		0.0000		1833537	803313	0.196	0.238	2.654	2.997	1.370	1716.15		111.25	0.870	0.846	2.837	Simply Calculate																																					0.15	0.004	4	1	5.0000	04/03/2021 15:13:55	System Administrator			Target	2	350.00>79.05	1	1	1	1	1	1	1																																																										17	0.100	10.00	10.000	0.0000	Area				Window	0.00000	1.801	3.498	2.746		Auto	Auto	1.00000	1.00000	Internal Standard	0.0000000	0.0000000	Pending	0.0000	0.0000	 -0.41		3.16								0.0000																								0.0000000	0.0000000		Signalling_High_20190806.lcm		1.135	0.028	rms		0.00000	0.00000	0.00000	0.00000	0.00000							1.270		S-1-P 17(1)											1.0000				1.000000	1.000000																
12			2035RAB_0001CAL4_A1	2035RAB_0001CAL4_A1	2035RAB_0001CAL4_A1	Unknown	No		2.742	0.00	0.00	ppm	356100	190622		0.0000		1819908	787602	0.196	0.242	2.681	3.012	1.419	1739.24		109.60	0.869	0.846	2.802	Simply Calculate																																					0.44	0.012	5	1	5.0000	04/03/2021 15:25:41	System Administrator			Target	2	350.00>79.05	1	1	1	1	1	1	1																																																										17	0.100	10.00	10.000	0.0000	Area				Window	0.00000	1.801	3.498	2.754		Auto	Auto	1.00000	1.00000	Internal Standard	0.0000000	0.0000000	Pending	0.0000	0.0000	 -0.41		3.17								0.0000																								0.0000000	0.0000000		Signalling_High_20190806.lcm		1.112	0.027	rms		0.00000	0.00000	0.00000	0.00000	0.00000							1.224		S-1-P 17(1)											1.0000				1.000000	1.000000																
13			2035RAB_0001CAL6_A1	2035RAB_0001CAL6_A1	2035RAB_0001CAL6_A1	Unknown	No		2.742	0.00	0.00	ppm	345930	183468		0.0000		1757331	756832	0.197	0.242	2.636	2.966	1.382	1179.98		155.48	0.864	0.846	2.144	Simply Calculate																																					 -0.73	 -0.020	6	1	5.0000	04/03/2021 15:37:21	System Administrator			Target	2	350.00>79.05	1	1	1	1	1	1	1																																																										17	0.100	10.00	10.000	0.0000	Area				Window	0.00000	1.801	3.498	2.722		Auto	Auto	1.00000	1.00000	Internal Standard	0.0000000	0.0000000	Pending	0.0000	0.0000	 -0.43		3.15								0.0000																								0.0000000	0.0000000		Signalling_High_20190806.lcm		1.114	0.027	rms		0.00000	0.00000	0.00000	0.00000	0.00000							1.229		S-1-P 17(1)											1.0000				1.000000	1.000000																
14			2035RAB_0001CAL8_A1	2035RAB_0001CAL8_A1	2035RAB_0001CAL8_A1	Unknown	No		2.742	0.00	0.00	ppm	369579	201271		0.0000		1730830	741192	0.214	0.272	2.621	2.980	1.157	1190.15		169.11	0.884	0.846	4.519	Simply Calculate																																					0.44	0.012	7	1	5.0000	04/03/2021 15:49:02	System Administrator			Target	2	350.00>79.05	1	1	1	1	1	1	1																																																										17	0.100	10.00	10.000	0.0000	Area				Window	0.00000	1.801	3.498	2.754		Auto	Auto	1.00000	1.00000	Internal Standard	0.0000000	0.0000000	Pending	0.0000	0.0000	 -0.36		3.12								0.0000																								0.0000000	0.0000000		Signalling_High_20190806.lcm		1.075	0.027	rms		0.00000	0.00000	0.00000	0.00000	0.00000							1.150		S-1-P 17(1)											1.0000				1.000000	1.000000																
15			2035RAB_0001PROC_A1	2035RAB_0001PROC_A1	2035RAB_0001PROC_A1	Unknown	No		2.742	0.00		ppm						4042121	1717567										0.846		Simply Calculate																																							2	1	5.0000	04/03/2021 14:50:33	System Administrator			Target	2	350.00>79.05	1	1	1	1	1	1	1																																																										17	0.100	10.00	10.000	0.0000	Area				Window	0.00000					No peak is found in the Window/Band range	ND(W/B)	1.00000	1.00000	Internal Standard	0.0000000	0.0000000	Pending					3.17								0.0000																								0.0000000	0.0000000		Signalling_High_20190806.lcm																			S-1-P 17(1)											1.0000				1.000000	1.000000																
16			2035RAB_0001PROC_A2	2035RAB_0001PROC_A2	2035RAB_0001PROC_A2	Unknown	No		2.742	0.00		ppm						3396280	1504884										0.846		Simply Calculate																																							2	1	5.0000	05/03/2021 07:12:50	System Administrator			Target	2	350.00>79.05	1	1	1	1	1	1	1																																																										17	0.100	10.00	10.000	0.0000	Area				Window	0.00000					No peak is found in the Window/Band range	ND(W/B)	1.00000	1.00000	Internal Standard	0.0000000	0.0000000	Pending					3.19								0.0000																								0.0000000	0.0000000		Signalling_High_20190806.lcm																			S-1-P 17(1)											1.0000				1.000000	1.000000																
17			2035RAB_0001LQC_A1	2035RAB_0001LQC_A1	2035RAB_0001LQC_A1	Unknown	No		2.742	0.00	0.00	ppm	375072	200154		0.0000		1769919	759904	0.212	0.263	2.669	3.056	1.427	1747.09		114.56	0.871	0.846	3.032	Simply Calculate																																					0.62	0.017	14	1	5.0000	04/03/2021 17:22:35	System Administrator			Target	2	350.00>79.05	1	1	1	1	1	1	1																																																										17	0.100	10.00	10.000	0.0000	Area				Window	0.00000	1.801	3.498	2.759		Auto	Auto	1.00000	1.00000	Internal Standard	0.0000000	0.0000000	Pending	0.0000	0.0000	 -0.41		3.17								0.0000																								0.0000000	0.0000000		Signalling_High_20190806.lcm		1.145	0.030	rms		0.00000	0.00000	0.00000	0.00000	0.00000							1.289		S-1-P 17(1)											1.0000				1.000000	1.000000																
18			2035RAB_0001LQC_B1	2035RAB_0001LQC_B1	2035RAB_0001LQC_B1	Unknown	No		2.742	0.00	0.00	ppm	356584	205254		0.0000		1785388	786879	0.200	0.261	2.654	2.966	1.215	1715.85		119.62	0.866	0.846	2.378	Simply Calculate																																					 -0.29	 -0.008	37	1	5.0000	04/03/2021 21:39:45	System Administrator			Target	2	350.00>79.05	1	1	1	1	1	1	1																																																										17	0.100	10.00	10.000	0.0000	Area				Window	0.00000	1.801	3.498	2.734		Auto	Auto	1.00000	1.00000	Internal Standard	0.0000000	0.0000000	Pending	0.0000	0.0000	 -0.42		3.16								0.0000																								0.0000000	0.0000000		Signalling_High_20190806.lcm		1.095	0.026	rms		0.00000	0.00000	0.00000	0.00000	0.00000							1.189		S-1-P 17(1)											1.0000				1.000000	1.000000																
19			2035RAB_0001LQC_D1	2035RAB_0001LQC_D1	2035RAB_0001LQC_D1	Unknown	No		2.742	0.00	0.00	ppm	282858	145608		0.0000		1431061	627374	0.198	0.232	2.669	2.980	1.370	1328.76		109.58	0.866	0.846	2.383	Simply Calculate																																					0.07	0.002	71	1	5.0000	05/03/2021 04:17:23	System Administrator			Target	2	350.00>79.05	1	1	1	1	1	1	1																																																										17	0.100	10.00	10.000	0.0000	Area				Window	0.00000	1.801	3.498	2.744		Auto	Auto	1.00000	1.00000	Internal Standard	0.0000000	0.0000000	Pending	0.0000	0.0000	 -0.43		3.17								0.0000																								0.0000000	0.0000000		Signalling_High_20190806.lcm		1.113	0.031	rms		0.00000	0.00000	0.00000	0.00000	0.00000							1.225		S-1-P 17(1)											1.0000				1.000000	1.000000																
20			2035RAB_0001LQC_E1	2035RAB_0001LQC_E1	2035RAB_0001LQC_E1	Unknown	No		2.742	0.00	0.00	ppm	298665	158215		0.0000		1456388	611667	0.205	0.259	2.669	2.980	1.325	1629.86		97.07	0.866	0.846	2.360	Simply Calculate																																					 -0.22	 -0.006	84	1	5.0000	05/03/2021 06:49:28	System Administrator			Target	2	350.00>79.05	1	1	1	1	1	1	1																																																										17	0.100	10.00	10.000	0.0000	Area				Window	0.00000	1.801	3.498	2.736		Auto	Auto	1.00000	1.00000	Internal Standard	0.0000000	0.0000000	Pending	0.0000	0.0000	 -0.43		3.16								0.0000																								0.0000000	0.0000000		Signalling_High_20190806.lcm		1.119	0.027	rms		0.00000	0.00000	0.00000	0.00000	0.00000							1.238		S-1-P 17(1)											1.0000				1.000000	1.000000																
