Sample Name	Acquisition Date & Time	Component Name	IS Name	Area	IS Area	Retention Time	IS Retention Time
2204BAB_0001SQC_A1	08/09/2022 18:24:08	BAA_aspartic.acid	BAA_aspartic.acid_13c15n	4606625.02067989	33755678.2806921	2.76030270875321	2.75970482442188
2204BAB_0001SQC_A1	08/09/2022 18:24:08	BAA_carnosine	BAA_aspartic.acid_13c15n	10866.9085633097	33755678.2806921	2.32441161249256	2.75970482442188
2204BAB_0001SQC_A1	08/09/2022 18:24:08	BAA_glutamic.acid	BAA_glutamic.acid_13c15n	76319615.0712751	31911452.9254068	3.08596295230883	3.0851561774245
2204BAB_0001SQC_A1	08/09/2022 18:24:08	BAA_glutamine	BAA_glutamine_13c15n	117944955.485546	12579901.831468	2.43187543347139	2.42881792259659
2204BAB_0001SQC_A1	08/09/2022 18:24:08	BAA_histidine	BAA_asparagine_13c15n	987263.863665235	30475414.7704558	1.82755648236445	2.05936397936099
2204BAB_0001SQC_A1	08/09/2022 18:24:08	BAA_homoserine	BAA_glycine_13c15n	117962.412923227	43458926.7614508	2.61519025104909	2.54108286334353
2204BAB_0001SQC_A1	08/09/2022 18:24:08	BAA_isoleucine	BAA_isoleucine_13c15n	67765595.7951235	24937681.715597	7.48271312531044	7.48104392415714
2204BAB_0001SQC_A1	08/09/2022 18:24:08	BAA_kynurenine	BAA_isoleucine_13c15n	209029.972631294	24937681.715597	7.40243094735453	7.48104392415714
2204BAB_0001SQC_A1	08/09/2022 18:24:08	BAA_lysine	BAA_lysine_13c15n	63637675.3156292	39553649.2338866	5.77680862924678	5.77376634989534
2204BAB_0001SQC_A1	08/09/2022 18:24:08	BAA_methionine	BAA_methionine_13c15n	19258700.4497343	13815063.183621	6.17777756030421	6.17629849169048
2204BAB_0001SQC_A1	08/09/2022 18:24:08	BAA_methionine.sulfoxide	BAA_aspartic.acid_13c15n	249763.819429871	33755678.2806921	2.81183514942999	2.75970482442188
2204BAB_0001SQC_A1	08/09/2022 18:24:08	BAA_phenylalanine	BAA_phenylalanine_13c15n	63879237.6241229	13758328.7629987	7.7029143390581	7.7002529637076
2204BAB_0001SQC_A1	08/09/2022 18:24:08	BAA_pipecolic.acid	BAA_alpha_aminobutyric.acid_d6	250811.732073726	61698657.0113253	6.06482313109547	5.0110350974635
2204BAB_0001SQC_A1	08/09/2022 18:24:08	BAA_proline	BAA_alpha_aminobutyric.acid_d6	104833223.98621	61698657.0113253	4.39192260976882	5.0110350974635
